StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q6_1,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which group has the highest income value across the years?,"Please make a quick visual judgment to estimate.

In 2014,  what percentage does the black women's income take out of black men's income?

Answer in scale 0-100 % - (0-100 %)","Please make a quick visual judgment to estimate.

In 2014,  what percentage does the black women's income take out of black men's income?

Answer in scale 0-100 % - (0-100 %)",mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""mTurkCode""}"
2018-05-01 20:58:30,2018-05-01 20:58:35,Survey Preview,,100,4,True,2018-05-01 20:58:35,R_3DvxRIas9x5pVfy,,,,,41.801406860352,-87.60050201416,preview,EN,"Not Black, Woman",,,733
2018-05-01 20:58:38,2018-05-01 20:58:42,Survey Preview,,100,4,True,2018-05-01 20:58:42,R_2cejMQPyanScAhH,,,,,41.801406860352,-87.60050201416,preview,EN,"Black, Woman",,,5707
2018-05-01 20:58:44,2018-05-01 20:58:55,Survey Preview,,100,11,True,2018-05-01 20:58:55,R_ZwacebX3Th0OCC5,,,,,41.801406860352,-87.60050201416,preview,EN,"Black, Man",,49,1331
2018-05-01 21:03:12,2018-05-01 21:03:30,Survey Preview Spam,,100,17,True,2018-05-01 21:03:30,R_3L5pseETz7wyBKm,,,,,41.801406860352,-87.60050201416,preview,EN,"Black, Woman",,,9340
2018-05-01 21:03:34,2018-05-01 21:03:57,Survey Preview,,100,23,True,2018-05-01 21:03:58,R_1meMScbUJQaG2LE,,,,,41.801406860352,-87.60050201416,preview,EN,"Black, Man",60,,1304
2018-05-01 21:04:15,2018-05-01 21:04:19,Survey Preview Spam,,100,3,True,2018-05-01 21:04:19,R_3EGe18UmBHjyBjp,,,,,41.801406860352,-87.60050201416,preview,EN,"Black, Woman",,,6620
2018-05-01 21:05:51,2018-05-01 21:05:55,Survey Preview,,100,3,True,2018-05-01 21:05:55,R_1QF7AVKhiTQ8siG,,,,,41.801406860352,-87.60050201416,preview,EN,"Not Black, Man",,,121
2018-05-01 21:05:58,2018-05-01 21:06:10,Survey Preview,,100,12,True,2018-05-01 21:06:11,R_1kTaE8s450ZDLyB,,,,,41.801406860352,-87.60050201416,preview,EN,"Black, Man",,29,7653
2018-05-01 21:07:08,2018-05-01 21:07:16,Survey Preview,,100,7,True,2018-05-01 21:07:16,R_2bHnwG9z1lF3adU,,,,,41.801406860352,-87.60050201416,preview,EN,"Black, Man",,31,68862
